ICM_ID,boundary,landchange_allowed
1531,upland areas; non-wetland,0
1532,upland areas; non-wetland,0
1533,upland areas; non-wetland,0
1534,upland areas; non-wetland,0
1535,upland areas; non-wetland,0
1536,upland areas; non-wetland,0
1537,upland areas; non-wetland,0
1538,upland areas; non-wetland,0
1539,upland areas; non-wetland,0
1540,upland areas; non-wetland,0
1541,upland areas; non-wetland,0
1542,upland areas; non-wetland,0
1543,upland areas; non-wetland,0
1544,upland areas; non-wetland,0
1545,upland areas; non-wetland,0
1546,upland areas; non-wetland,0
1547,upland areas; non-wetland,0
1548,upland areas; non-wetland,0
1549,upland areas; non-wetland,0
1550,upland areas; non-wetland,0
1551,upland areas; non-wetland,0
1552,upland areas; non-wetland,0
1553,upland areas; non-wetland,0
1554,upland areas; non-wetland,0
1555,upland areas; non-wetland,0
1556,upland areas; non-wetland,0
1557,upland areas; non-wetland,0
1558,upland areas; non-wetland,0
1559,2D tributary boundary (Qmult > 0),0
1560,upland areas; non-wetland,0
1561,upland areas; non-wetland,0
1562,upland areas; non-wetland,0
1563,upland areas; non-wetland,0
1564,upland areas; non-wetland,0
1565,upland areas; non-wetland,0
1566,upland areas; non-wetland,0
1567,upland areas; non-wetland,0
1568,upland areas; non-wetland,0
1569,upland areas; non-wetland,0
1570,upland areas; non-wetland,0
1571,upland areas; non-wetland,0
1572,upland areas; non-wetland,0
1573,upland areas; non-wetland,0
1574,upland areas; non-wetland,0
1575,upland areas; non-wetland,0
1576,upland areas; non-wetland,0
1577,upland areas; non-wetland,0
1578,upland areas; non-wetland,0
1579,upland areas; non-wetland,0
1580,upland areas; non-wetland,0
1581,upland areas; non-wetland,0
1582,upland areas; non-wetland,0
1583,upland areas; non-wetland,0
1584,upland areas; non-wetland,0
1585,upland areas; non-wetland,0
1586,upland areas; non-wetland,0
1587,upland areas; non-wetland,0
1588,upland areas; non-wetland,0
1589,upland areas; non-wetland,0
1590,upland areas; non-wetland,0
1591,upland areas; non-wetland,0
1592,upland areas; non-wetland,0
1593,upland areas; non-wetland,0
1594,upland areas; non-wetland,0
1595,upland areas; non-wetland,0
1596,upland areas; non-wetland,0
1597,upland areas; non-wetland,0
1598,upland areas; non-wetland,0
1599,upland areas; non-wetland,0
1600,upland areas; non-wetland,0
1601,upland areas; non-wetland,0
1602,upland areas; non-wetland,0
1603,2D tributary boundary (Qmult > 0),0
1604,upland areas; non-wetland,0
1605,upland areas; non-wetland,0
1606,upland areas; non-wetland,0
1607,upland areas; non-wetland,0
1608,upland areas; non-wetland,0
1609,upland areas; non-wetland,0
1610,2D tributary boundary (Qmult > 0),0
1611,upland areas; non-wetland,0
1612,upland areas; non-wetland,0
1613,upland areas; non-wetland,0
1614,upland areas; non-wetland,0
1615,upland areas; non-wetland,0
1616,upland areas; non-wetland,0
1617,upland areas; non-wetland,0
1618,upland areas; non-wetland,0
1619,upland areas; non-wetland,0
1620,upland areas; non-wetland,0
1621,upland areas; non-wetland,0
1622,upland areas; non-wetland,0
1623,upland areas; non-wetland,0
1624,upland areas; non-wetland,0
1625,upland areas; non-wetland,0
1626,upland areas; non-wetland,0
1627,upland areas; non-wetland,0
1628,upland areas; non-wetland,0
1629,2D tributary boundary (Qmult > 0),0
1630,upland areas; non-wetland,0
1631,upland areas; non-wetland,0
1632,upland areas; non-wetland,0
1633,upland areas; non-wetland,0
1634,upland areas; non-wetland,0
1635,upland areas; non-wetland,0
1636,upland areas; non-wetland,0
1637,2D tributary boundary (Qmult > 0),0
1638,upland areas; non-wetland,0
1639,upland areas; non-wetland,0
1640,upland areas; non-wetland,0
1641,upland areas; non-wetland,0
1642,upland areas; non-wetland,0
1643,upland areas; non-wetland,0
1644,upland areas; non-wetland,0
1645,upland areas; non-wetland,0
1646,upland areas; non-wetland,0
1647,upland areas; non-wetland,0
1648,upland areas; non-wetland,0
1649,upland areas; non-wetland,0
1650,upland areas; non-wetland,0
1651,upland areas; non-wetland,0
1652,upland areas; non-wetland,0
1653,upland areas; non-wetland,0
1654,upland areas; non-wetland,0
1655,upland areas; non-wetland,0
1656,upland areas; non-wetland,0
1657,upland areas; non-wetland,0
