prj_no,S,year,code,ecoregion,value
G300_FWOA_v3,S01,10,SWA,BRT,1320300.0
G300_FWOA_v3,S01,10,SWA,CAS,2380500.0
G300_FWOA_v3,S01,10,SWA,EWCR,0.0
G300_FWOA_v3,S01,15,SWA,AVT,696258000.0
G300_FWOA_v3,S01,15,SWA,LTB,42756300.0
G300_FWOA_v3,S01,15,SWA,UBA,415666800.0
G300_FWOA_v3,S01,15,SWA,BFD,5938200.0
G300_FWOA_v3,S01,15,SWA,UPO,279924300.0
G300_FWOA_v3,S01,15,SWA,LPO,0.0
G300_FWOA_v3,S01,15,SWA,MEL,28036800.0
G300_FWOA_v3,S01,15,SWA,LBA,22500.0
G300_FWOA_v3,S01,15,SWA,BRT,402300.0
G300_FWOA_v3,S01,15,SWA,CAS,1860300.0
G300_FWOA_v3,S01,15,SWA,EWCR,0.0
G300_FWOA_v3,S01,20,SWA,AVT,637848000.0
G300_FWOA_v3,S01,20,SWA,LTB,37346400.0
G300_FWOA_v3,S01,20,SWA,UBA,170546400.0
G300_FWOA_v3,S01,20,SWA,BFD,3383100.0
G300_FWOA_v3,S01,20,SWA,UPO,204140700.0
G300_FWOA_v3,S01,20,SWA,LPO,0.0
G300_FWOA_v3,S01,20,SWA,MEL,22113000.0
G300_FWOA_v3,S01,20,SWA,LBA,57600.0
G300_FWOA_v3,S01,20,SWA,BRT,316800.0
G300_FWOA_v3,S01,20,SWA,CAS,1556100.0
G300_FWOA_v3,S01,20,SWA,EWCR,0.0
G300_FWOA_v3,S01,25,SWA,AVT,599300100.0
G300_FWOA_v3,S01,25,SWA,LTB,32364900.0
G300_FWOA_v3,S01,25,SWA,UBA,143477100.0
G300_FWOA_v3,S01,25,SWA,BFD,0.0
G300_FWOA_v3,S01,25,SWA,UPO,184291200.0
G300_FWOA_v3,S01,25,SWA,LPO,0.0
G300_FWOA_v3,S01,25,SWA,MEL,12896100.0
G300_FWOA_v3,S01,25,SWA,LBA,10800.0
G300_FWOA_v3,S01,25,SWA,BRT,0.0
G300_FWOA_v3,S01,25,SWA,CAS,1308600.0
G300_FWOA_v3,S01,25,SWA,EWCR,0.0
G300_FWOA_v3,S01,30,SWA,AVT,550466100.0
G300_FWOA_v3,S01,30,SWA,LTB,29223000.0
G300_FWOA_v3,S01,30,SWA,UBA,108213300.0
G300_FWOA_v3,S01,30,SWA,BFD,3600.0
G300_FWOA_v3,S01,30,SWA,UPO,171099900.0
G300_FWOA_v3,S01,30,SWA,LPO,8100.0
G300_FWOA_v3,S01,30,SWA,MEL,12414600.0
G300_FWOA_v3,S01,30,SWA,LBA,45900.0
G300_FWOA_v3,S01,30,SWA,BRT,79200.0
G300_FWOA_v3,S01,30,SWA,CAS,1859400.0
G300_FWOA_v3,S01,30,SWA,EWCR,0.0
G300_FWOA_v3,S01,35,SWA,AVT,511596000.0
G300_FWOA_v3,S01,35,SWA,LTB,24690600.0
G300_FWOA_v3,S01,35,SWA,UBA,62818200.0
G300_FWOA_v3,S01,35,SWA,BFD,117000.0
G300_FWOA_v3,S01,35,SWA,UPO,159470100.0
G300_FWOA_v3,S01,35,SWA,LPO,0.0
G300_FWOA_v3,S01,35,SWA,MEL,11706300.0
G300_FWOA_v3,S01,35,SWA,LBA,17100.0
G300_FWOA_v3,S01,35,SWA,BRT,52200.0
G300_FWOA_v3,S01,35,SWA,CAS,1773000.0
G300_FWOA_v3,S01,35,SWA,EWCR,0.0
G300_FWOA_v3,S01,40,SWA,AVT,491500800.0
G300_FWOA_v3,S01,40,SWA,LTB,19345500.0
G300_FWOA_v3,S01,40,SWA,UBA,60118200.0
G300_FWOA_v3,S01,40,SWA,BFD,9900.0
G300_FWOA_v3,S01,40,SWA,UPO,152289000.0
G300_FWOA_v3,S01,40,SWA,LPO,0.0
G300_FWOA_v3,S01,40,SWA,MEL,10278000.0
G300_FWOA_v3,S01,40,SWA,LBA,23400.0
G300_FWOA_v3,S01,40,SWA,BRT,54000.0
G300_FWOA_v3,S01,40,SWA,CAS,1823400.0
G300_FWOA_v3,S01,40,SWA,EWCR,0.0
G300_FWOA_v3,S01,45,SWA,AVT,429300900.0
G300_FWOA_v3,S01,45,SWA,LTB,11455200.0
G300_FWOA_v3,S01,45,SWA,UBA,56437200.0
G300_FWOA_v3,S01,45,SWA,BFD,86400.0
G300_FWOA_v3,S01,45,SWA,UPO,142728300.0
G300_FWOA_v3,S01,45,SWA,LPO,0.0
G300_FWOA_v3,S01,45,SWA,MEL,6338700.0
G300_FWOA_v3,S01,45,SWA,LBA,13500.0
G300_FWOA_v3,S01,45,SWA,BRT,3600.0
G300_FWOA_v3,S01,45,SWA,CAS,1815300.0
G300_FWOA_v3,S01,45,SWA,EWCR,0.0
G300_FWOA_v3,S01,50,SWA,AVT,329079600.0
G300_FWOA_v3,S01,50,SWA,LTB,9834300.0
G300_FWOA_v3,S01,50,SWA,UBA,36972000.0
G300_FWOA_v3,S01,50,SWA,BFD,29700.0
G300_FWOA_v3,S01,50,SWA,UPO,131779800.0
G300_FWOA_v3,S01,50,SWA,LPO,0.0
G300_FWOA_v3,S01,50,SWA,MEL,5391000.0
G300_FWOA_v3,S01,50,SWA,LBA,7200.0
G300_FWOA_v3,S01,50,SWA,BRT,2700.0
G300_FWOA_v3,S01,50,SWA,CAS,318600.0
G300_FWOA_v3,S01,50,SWA,EWCR,0.0
G300_FWOA_v3,S01,5,FRM,AVT,332512200.0
G300_FWOA_v3,S01,5,FRM,LTB,315572400.0
G300_FWOA_v3,S01,5,FRM,UBA,659428200.0
G300_FWOA_v3,S01,5,FRM,BFD,110407500.0
G300_FWOA_v3,S01,5,FRM,UPO,292155300.0
G300_FWOA_v3,S01,5,FRM,LPO,0.0
G300_FWOA_v3,S01,5,FRM,MEL,757369800.0
G300_FWOA_v3,S01,5,FRM,LBA,94314600.0
G300_FWOA_v3,S01,5,FRM,BRT,125200800.0
G300_FWOA_v3,S01,5,FRM,CAS,249968700.0
G300_FWOA_v3,S01,5,FRM,EWCR,90265500.0
G300_FWOA_v3,S01,10,FRM,AVT,541199700.0
G300_FWOA_v3,S01,10,FRM,LTB,351711000.0
G300_FWOA_v3,S01,10,FRM,UBA,914982300.0
G300_FWOA_v3,S01,10,FRM,BFD,139095900.0
G300_FWOA_v3,S01,10,FRM,UPO,554334300.0
G300_FWOA_v3,S01,10,FRM,LPO,0.0
G300_FWOA_v3,S01,10,FRM,MEL,824018400.0
G300_FWOA_v3,S01,10,FRM,LBA,166452300.0
G300_FWOA_v3,S01,10,FRM,BRT,250169400.0
G300_FWOA_v3,S01,10,FRM,CAS,329256900.0
G300_FWOA_v3,S01,10,FRM,EWCR,121047300.0
G300_FWOA_v3,S01,15,FRM,AVT,819617400.0
G300_FWOA_v3,S01,15,FRM,LTB,389385000.0
G300_FWOA_v3,S01,15,FRM,UBA,1168250400.0
