ICM-Hydro_compartment,CRMS_site,LDEQ_site
1210,na,na
1211,na,na
1212,na,na
1213,na,na
1214,na,na
1215,na,na
1216,CRMS1446-H01,na
1217,CRMS0590-H01,na
1218,CRMS0556-H01,na
1219,na,na
1220,na,na
1221,na,na
1222,na,na
1223,na,na
1224,na,na
1225,na,na
1226,na,na
1227,na,na
1228,na,na
1229,na,na
1230,na,na
1231,na,na
1232,na,na
1233,na,na
1234,na,na
1235,na,na
1236,na,na
1237,CRMS1409-H01,na
1238,na,na
1239,CRMS2493-H01,na
1240,na,na
1241,CRMS0624-H01,na
1242,CRMS0583-H01,na
1243,CRMS0605-H01,na
1244,na,na
1245,na,na
1246,na,na
1247,na,na
1248,na,na
1249,na,na
1250,CRMS1413-H01,na
1251,na,na
1252,CRMS0553-H01,na
1253,CRMS0587-H01,na
1254,na,na
1255,CRMS0622-H01,na
1256,na,na
1257,na,na
1258,na,na
1259,na,na
1260,na,na
1261,na,na
1262,na,LDEQ_0850
1263,CRMS6301-H01,LDEQ_0828
1264,CRMS0687-H01,na
1265,na,na
1266,na,na
1267,na,na
1268,CRMS0685-H01,na
1269,CRMS0655-H01,na
1270,na,na
1271,na,na
1272,na,na
1273,na,na
1274,na,na
1275,na,na
1276,na,na
1277,na,na
1278,na,na
1279,na,na
1280,na,na
1281,na,na
1282,CRMS0680-H01,na
1283,na,na
1284,CRMS0639-H01,na
1285,CRMS0635-H01,na
1286,na,na
1287,CRMS0647-H01,na
1288,CRMS0642-H01,na
1289,CRMS1858-H01,na
1290,CRMS0638-H01,na
1291,CRMS0641-H01,na
1292,na,na
1293,na,na
1294,CRMS0682-H01,na
1295,na,na
1296,na,na
1297,na,na
1298,na,na
1299,CRMS0694-H02,na
1300,na,na
1301,na,na
1302,na,na
1303,na,na
1304,na,na
1305,na,na
1306,na,na
1307,CRMS0677-H01,na
1308,na,na
1309,CRMS0661-H01,na
1310,CRMS2156-H01,na
1311,CRMS1838-H01,na
1312,na,na
1313,CRMS0684-H01,na
1314,na,na
1315,na,na
1316,CRMS2219-H01,na
1317,na,na
1318,CRMS2189-H02,na
1319,CRMS2166-H01,LDEQ_1157
1320,na,na
1321,na,na
1322,na,na
1323,na,LDEQ_1158
1324,na,na
1325,na,na
1326,na,na
1327,CRMS0693-H01,na
1328,CRMS0658-H01,LDEQ_1169
1329,CRMS0662-H01,na
1330,na,na
1331,na,na
1332,na,na
1333,na,na
1334,na,na
1335,na,na
1336,na,na
1337,na,na
1338,na,na
1339,na,na
1340,na,na
1341,na,na
1342,na,na
1343,na,LDEQ_0852
1344,na,na
1345,na,na
1346,na,na
1347,na,na
1348,na,na
1349,na,na
1350,na,na
1351,na,na
1352,na,na
1353,na,na
1354,na,na
1355,na,na
1356,na,na
1357,na,na
1358,na,na
1359,na,na
1360,na,na
1361,na,na
1362,na,na
1363,na,na
1364,na,na
1365,na,na
1366,na,na
1367,na,na
1368,na,na
1369,na,LDEQ_1170
1370,na,na
1371,na,na
1372,na,na
1373,na,na
1374,na,na
1375,na,na
1376,na,na
1377,na,na
1378,na,na
1379,na,na
1380,na,na
1381,na,na
1382,na,LDEQ_0660
1383,na,na
1384,na,na
1385,na,na
1386,na,na
1387,na,na
1388,na,na
1389,na,LDEQ_2752
1390,na,na
1391,na,na
1392,na,LDEQ_1168
1393,CRMS0697-H01,na
1394,na,na
1395,na,na
1396,na,na
1397,na,na
1398,na,na
1399,na,na
1400,na,na
1401,CRMS0691-H01,na
1402,na,na
1403,na,na
1404,na,na
1405,na,na
1406,na,na
1407,CRMS0575-H01,na
1408,na,na
1409,na,na
1410,na,na
1411,na,na
1412,na,na
1413,na,na
1414,na,na
1415,na,na
1416,na,na
1417,na,na
1418,na,na
1419,na,na
1420,na,na
1421,na,na
1422,na,na
1423,na,na
1424,na,na
1425,na,na
1426,na,na
1427,na,na
1428,na,na
1429,na,na
1430,na,na
1431,na,na
1432,na,na
1433,na,na
1434,na,na
1435,na,na
1436,na,na
1437,na,na
1438,na,na
1439,na,na
